time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
279.701,-0.57409,0,-0.98045,0,29.80541,0
279.723,-0.475849,0,-0.808949,0,29.80541,0
279.7274,-0.475849,0,-0.808949,0,29.80541,0
279.7312,-0.475849,0,-0.808949,0,29.80541,0
279.7354,-0.475849,0,-0.808949,0,29.80541,0
279.7391,-0.475849,0,-0.808949,0,29.80541,0
279.7438,-0.377608,0,-0.637449,0,29.80541,0
279.7482,-0.377608,0,-0.637449,0,29.80541,0
279.7522,-0.377608,0,-0.637449,0,29.80541,0
279.7563,-0.377608,0,-0.637449,0,29.80541,0
279.7602,-0.279368,0,-0.465948,0,29.80541,0
279.765,-0.279368,0,-0.465948,0,29.80541,0
279.7687,-0.279368,0,-0.465948,0,29.80541,0
279.7732,-0.279368,0,-0.465948,0,29.80541,0
279.7772,-0.279368,0,-0.465948,0,29.80541,0
279.7815,-0.181127,0,-0.294448,0,29.80541,0
279.786,-0.181127,0,-0.294448,0,29.80541,0
279.7898,-0.181127,0,-0.294448,0,29.80541,0
279.7939,-0.181127,0,-0.294448,0,29.80541,0
279.7986,-0.181127,0,-0.294448,0,29.80541,0
279.8025,-0.082886,0,-0.122947,0,29.80541,0
279.8073,-0.082886,0,-0.122947,0,29.80541,0
279.8114,-0.082886,0,-0.122947,0,29.80541,0
279.8152,-0.082886,0,-0.122947,0,29.80541,0
279.8195,-0.082886,0,-0.122947,0,29.80541,0
279.8243,0.015355,0,0.048554,0,29.80541,0
279.8302,0.015355,0,0.048554,0,29.80541,0
279.8342,0.015355,0,0.048554,0,29.80541,0
279.8379,0.015355,0,0.048554,0,29.80541,0
279.8418,0.113596,0,0.220054,0,29.80541,0
279.847,0.113596,0,0.220054,0,29.80541,0
279.8528,0.113596,0,0.220054,0,29.80541,0
279.8582,0.113596,0,0.220054,0,29.80541,0
279.8622,0.211837,0,0.391555,0,29.80541,0
279.8668,0.211837,0,0.391555,0,29.80541,0
279.8719,0.211837,0,0.391555,0,29.80541,0
279.8758,0.211837,0,0.391555,0,29.80541,0
279.8797,0.211837,0,0.391555,0,29.80541,0
279.8837,0.303642,0,0.551821,0,29.80541,0
279.8877,0.303642,0,0.551821,0,29.80541,0
279.8914,0.303642,0,0.551821,0,29.80541,0
279.8953,0.303642,0,0.551821,0,29.80541,0
279.899,0.303642,0,0.551821,0,29.80541,0
279.9034,0.389601,0,0.70188,0,29.80541,0
279.9074,0.389601,0,0.70188,0,29.80541,0
279.9112,0.389601,0,0.70188,0,29.80541,0
279.915,0.389601,0,0.70188,0,29.80541,0
279.9187,0.389601,0,0.70188,0,29.80541,0
279.9224,0.469877,0,0.84202,0,29.80541,0
279.9266,0.469877,0,0.84202,0,29.80541,0
279.9304,0.469877,0,0.84202,0,29.80541,0
279.9341,0.469877,0,0.84202,0,29.80541,0
279.9379,0.469877,0,0.84202,0,29.80541,0
279.9414,0.544475,0,0.972248,0,29.80541,0
279.9458,0.544475,0,0.972248,0,29.80541,0
279.9497,0.544475,0,0.972248,0,29.80541,0
279.9536,0.544475,0,0.972248,0,29.80541,0
279.9573,0.544475,0,0.972248,0,29.80541,0
279.9611,0.61322,0,1.092256,0,29.80541,0
279.9654,0.61322,0,1.092256,0,29.80541,0
279.9693,0.61322,0,1.092256,0,29.80541,0
279.9732,0.61322,0,1.092256,0,29.80541,0
279.977,0.61322,0,1.092256,0,29.80541,0
279.9809,0.676037,0,1.201916,0,29.80541,0
279.9851,0.676037,0,1.201916,0,29.80541,0
279.9889,0.676037,0,1.201916,0,29.80541,0
279.9937,0.676037,0,1.201916,0,29.80541,0
279.9975,0.676037,0,1.201916,0,29.80541,0
280.0013,0.732773,0,1.300962,0,29.80541,0
280.006,0.732773,0,1.300962,0,29.80541,0
280.0098,0.732773,0,1.300962,0,29.80541,0
280.014,0.732773,0,1.300962,0,29.80541,0
280.0176,0.732773,0,1.300962,0,29.80541,0
280.0214,0.78352,0,1.389552,0,29.80541,0
280.0256,0.78352,0,1.389552,0,29.80541,0
280.0296,0.78352,0,1.389552,0,29.80541,0
280.0335,0.78352,0,1.389552,0,29.80541,0
280.0374,0.78352,0,1.389552,0,29.80541,0
280.0415,0.828284,0,1.467698,0,29.80541,0
280.0457,0.828284,0,1.467698,0,29.80541,0
280.0496,0.828284,0,1.467698,0,29.80541,0
280.0533,0.828284,0,1.467698,0,29.80541,0
280.0603,0.867441,0,1.536053,0,29.80541,0
280.0745,0.867441,0,1.536053,0,29.80541,0
280.0786,0.867441,0,1.536053,0,29.80541,0
280.0826,0.899953,0,1.592811,0,29.80541,0
280.0869,0.899953,0,1.592811,0,29.80541,0
280.0907,0.899953,0,1.592811,0,29.80541,0
280.0944,0.899953,0,1.592811,0,29.80541,0
280.0982,0.899953,0,1.592811,0,29.80541,0
280.1021,0.926629,0,1.63938,0,29.80541,0
280.1064,0.926629,0,1.63938,0,29.80541,0
280.11,0.926629,0,1.63938,0,29.80541,0
280.1139,0.926629,0,1.63938,0,29.80541,0
280.1176,0.926629,0,1.63938,0,29.80541,0
280.1213,0.947592,0,1.675974,0,29.80541,0
280.1258,0.947592,0,1.675974,0,29.80541,0
280.1295,0.947592,0,1.675974,0,29.80541,0
280.134,0.947592,0,1.675974,0,29.80541,0
280.1382,0.947592,0,1.675974,0,29.80541,0
280.1418,0.962434,0,1.701885,0,29.80541,0
280.1471,0.962434,0,1.701885,0,29.80541,0
280.1512,0.962434,0,1.701885,0,29.80541,0
280.155,0.962434,0,1.701885,0,29.80541,0
280.1589,0.962434,0,1.701885,0,29.80541,0
280.1631,0.970934,0,1.716723,0,29.80541,0
280.1674,0.970934,0,1.716723,0,29.80541,0
280.1714,0.970934,0,1.716723,0,29.80541,0
280.1753,0.970934,0,1.716723,0,29.80541,0
280.179,0.970934,0,1.716723,0,29.80541,0
280.1828,0.973552,0,1.721293,0,29.80541,0
280.1869,0.973552,0,1.721293,0,29.80541,0
280.1906,0.973552,0,1.721293,0,29.80541,0
280.1949,0.973552,0,1.721293,0,29.80541,0
280.1987,0.973552,0,1.721293,0,29.80541,0
280.2026,0.973552,0,1.721293,0,29.80541,0
280.2067,0.973552,0,1.721293,0,29.80541,0
280.2104,0.973552,0,1.721293,0,29.80541,0
280.2144,0.973552,0,1.721293,0,29.80541,0
280.218,0.973552,0,1.721293,0,29.80541,0
280.2219,0.973552,0,1.721293,0,29.80541,0
280.2262,0.973552,0,1.721293,0,29.80541,0
280.2301,0.973552,0,1.721293,0,29.80541,0
280.2337,0.973552,0,1.721293,0,29.80541,0
280.2377,0.973552,0,1.721293,0,29.80541,0
280.2413,0.973552,0,1.721293,0,29.80541,0
280.2458,0.973552,0,1.721293,0,29.80541,0
280.2495,0.973552,0,1.721293,0,29.80541,0
280.2532,0.973552,0,1.721293,0,29.80541,0
280.257,0.973552,0,1.721293,0,29.80541,0
280.2607,0.973552,0,1.721293,0,29.80541,0
280.2652,0.973552,0,1.721293,0,29.80541,0
