time,rayIndex,x,y,objectDetected
300.1428,0,0.05,0.05,Floor
300.1428,1,0.15,0.05,Floor
300.1428,2,0.25,0.05,Floor
300.1428,3,0.35,0.05,Floor
300.1428,4,0.45,0.05,trialStarter
300.1428,5,0.55,0.05,trialStarter
300.1428,6,0.65,0.05,trialStarter
300.1428,7,0.75,0.05,trialStarter
300.1428,8,0.85,0.05,Floor
300.1428,9,0.95,0.05,Floor
300.1428,10,0.05,0.15,Floor
300.1428,11,0.15,0.15,Floor
300.1428,12,0.25,0.15,Floor
300.1428,13,0.35,0.15,Floor
300.1428,14,0.45,0.15,trialStarter
300.1428,15,0.55,0.15,trialStarter
300.1428,16,0.65,0.15,trialStarter
300.1428,17,0.75,0.15,Floor
300.1428,18,0.85,0.15,Floor
300.1428,19,0.95,0.15,Floor
300.1428,20,0.05,0.25,Floor
300.1428,21,0.15,0.25,Floor
300.1428,22,0.25,0.25,Floor
300.1428,23,0.35,0.25,Floor
300.1428,24,0.45,0.25,Floor
300.1428,25,0.55,0.25,trialStarter
300.1428,26,0.65,0.25,Floor
300.1428,27,0.75,0.25,Floor
300.1428,28,0.85,0.25,Floor
300.1428,29,0.95,0.25,Floor
300.1428,30,0.05,0.35,Floor
300.1428,31,0.15,0.35,Floor
300.1428,32,0.25,0.35,Floor
300.1428,33,0.35,0.35,Floor
300.1428,34,0.45,0.35,Floor
300.1428,35,0.55,0.35,Floor
300.1428,36,0.65,0.35,Floor
300.1428,37,0.75,0.35,Floor
300.1428,38,0.85,0.35,Floor
300.1428,39,0.95,0.35,Floor
300.1428,40,0.05,0.45,Floor
300.1428,41,0.15,0.45,Floor
300.1428,42,0.25,0.45,Floor
300.1428,43,0.35,0.45,Floor
300.1428,44,0.45,0.45,Floor
300.1428,45,0.55,0.45,Floor
300.1428,46,0.65,0.45,Floor
300.1428,47,0.75,0.45,Floor
300.1428,48,0.85,0.45,Floor
300.1428,49,0.95,0.45,Floor
300.1428,50,0.05,0.55,Wall4
300.1428,51,0.15,0.55,Wall4
300.1428,52,0.25,0.55,Wall4
300.1428,53,0.35,0.55,Wall4
300.1428,54,0.45,0.55,Wall4
300.1428,55,0.55,0.55,Wall4
300.1428,56,0.65,0.55,Wall4
300.1428,57,0.75,0.55,Wall1
300.1428,58,0.85,0.55,Wall1
300.1428,59,0.95,0.55,Wall1
300.1428,60,0.05,0.65,Wall4
300.1428,61,0.15,0.65,Wall4
300.1428,62,0.25,0.65,Wall4
300.1428,63,0.35,0.65,Wall4
300.1428,64,0.45,0.65,Wall4
300.1428,65,0.55,0.65,Wall4
300.1428,66,0.65,0.65,Wall4
300.1428,67,0.75,0.65,Wall1
300.1428,68,0.85,0.65,Wall1
300.1428,69,0.95,0.65,Wall1
300.1428,70,0.05,0.75,Wall4
300.1428,71,0.15,0.75,Wall4
300.1428,72,0.25,0.75,Wall4
300.1428,73,0.35,0.75,Wall4
300.1428,74,0.45,0.75,Wall4
300.1428,75,0.55,0.75,Wall4
300.1428,76,0.65,0.75,Wall4
300.1428,77,0.75,0.75,Wall1
300.1428,78,0.85,0.75,Wall1
300.1428,79,0.95,0.75,Wall1
300.1428,80,0.05,0.85,Wall4
300.1428,81,0.15,0.85,Wall4
300.1428,82,0.25,0.85,Wall4
300.1428,83,0.35,0.85,Wall4
300.1428,84,0.45,0.85,Wall4
300.1428,85,0.55,0.85,NA
300.1428,86,0.65,0.85,NA
300.1428,87,0.75,0.85,NA
300.1428,88,0.85,0.85,Wall1
300.1428,89,0.95,0.85,Wall1
300.1428,90,0.05,0.95,NA
300.1428,91,0.15,0.95,NA
300.1428,92,0.25,0.95,NA
300.1428,93,0.35,0.95,NA
300.1428,94,0.45,0.95,NA
300.1428,95,0.55,0.95,NA
300.1428,96,0.65,0.95,NA
300.1428,97,0.75,0.95,NA
300.1428,98,0.85,0.95,NA
300.1428,99,0.95,0.95,Wall1
300.1661,0,0.05,0.05,Floor
300.1661,1,0.15,0.05,Floor
300.1661,2,0.25,0.05,Floor
300.1661,3,0.35,0.05,Floor
300.1661,4,0.45,0.05,trialStarter
300.1661,5,0.55,0.05,trialStarter
300.1661,6,0.65,0.05,trialStarter
300.1661,7,0.75,0.05,trialStarter
300.1661,8,0.85,0.05,Floor
300.1661,9,0.95,0.05,Floor
300.1661,10,0.05,0.15,Floor
300.1661,11,0.15,0.15,Floor
300.1661,12,0.25,0.15,Floor
300.1661,13,0.35,0.15,Floor
300.1661,14,0.45,0.15,Floor
300.1661,15,0.55,0.15,trialStarter
300.1661,16,0.65,0.15,trialStarter
300.1661,17,0.75,0.15,Floor
300.1661,18,0.85,0.15,Floor
300.1661,19,0.95,0.15,Floor
300.1661,20,0.05,0.25,Floor
300.1661,21,0.15,0.25,Floor
300.1661,22,0.25,0.25,Floor
300.1661,23,0.35,0.25,Floor
300.1661,24,0.45,0.25,Floor
300.1661,25,0.55,0.25,Floor
300.1661,26,0.65,0.25,Floor
300.1661,27,0.75,0.25,Floor
300.1661,28,0.85,0.25,Floor
300.1661,29,0.95,0.25,Floor
300.1661,30,0.05,0.35,Floor
300.1661,31,0.15,0.35,Floor
300.1661,32,0.25,0.35,Floor
300.1661,33,0.35,0.35,Floor
300.1661,34,0.45,0.35,Floor
300.1661,35,0.55,0.35,Floor
300.1661,36,0.65,0.35,Floor
300.1661,37,0.75,0.35,Floor
300.1661,38,0.85,0.35,Floor
300.1661,39,0.95,0.35,Floor
300.1661,40,0.05,0.45,Floor
300.1661,41,0.15,0.45,Floor
300.1661,42,0.25,0.45,Floor
300.1661,43,0.35,0.45,Floor
300.1661,44,0.45,0.45,Floor
300.1661,45,0.55,0.45,Floor
300.1661,46,0.65,0.45,Floor
300.1661,47,0.75,0.45,Floor
300.1661,48,0.85,0.45,Floor
300.1661,49,0.95,0.45,Floor
300.1661,50,0.05,0.55,Wall4
300.1661,51,0.15,0.55,Cube52
300.1661,52,0.25,0.55,Cube97
300.1661,53,0.35,0.55,Cube89
300.1661,54,0.45,0.55,Wall4
300.1661,55,0.55,0.55,Wall4
300.1661,56,0.65,0.55,Wall4
300.1661,57,0.75,0.55,Wall1
300.1661,58,0.85,0.55,Cube72
300.1661,59,0.95,0.55,Cube67
300.1661,60,0.05,0.65,Wall4
300.1661,61,0.15,0.65,Cube52
300.1661,62,0.25,0.65,Wall4
300.1661,63,0.35,0.65,Wall4
300.1661,64,0.45,0.65,Wall4
300.1661,65,0.55,0.65,Wall4
300.1661,66,0.65,0.65,Wall4
300.1661,67,0.75,0.65,Wall1
300.1661,68,0.85,0.65,Cube72
300.1661,69,0.95,0.65,Cube67
300.1661,70,0.05,0.75,Wall4
300.1661,71,0.15,0.75,Wall4
300.1661,72,0.25,0.75,Wall4
300.1661,73,0.35,0.75,Wall4
300.1661,74,0.45,0.75,Wall4
300.1661,75,0.55,0.75,Wall4
300.1661,76,0.65,0.75,Wall4
300.1661,77,0.75,0.75,Wall1
300.1661,78,0.85,0.75,Wall1
300.1661,79,0.95,0.75,Wall1
300.1661,80,0.05,0.85,Wall4
300.1661,81,0.15,0.85,Wall4
300.1661,82,0.25,0.85,Wall4
300.1661,83,0.35,0.85,Wall4
300.1661,84,0.45,0.85,Wall4
300.1661,85,0.55,0.85,NA
300.1661,86,0.65,0.85,NA
300.1661,87,0.75,0.85,NA
300.1661,88,0.85,0.85,Wall1
300.1661,89,0.95,0.85,Wall1
300.1661,90,0.05,0.95,NA
300.1661,91,0.15,0.95,NA
300.1661,92,0.25,0.95,NA
300.1661,93,0.35,0.95,NA
300.1661,94,0.45,0.95,NA
300.1661,95,0.55,0.95,NA
300.1661,96,0.65,0.95,NA
300.1661,97,0.75,0.95,NA
300.1661,98,0.85,0.95,NA
300.1661,99,0.95,0.95,Wall1
300.1704,0,0.05,0.05,Floor
300.1704,1,0.15,0.05,Floor
300.1704,2,0.25,0.05,Floor
300.1704,3,0.35,0.05,Floor
300.1704,4,0.45,0.05,trialStarter
300.1704,5,0.55,0.05,trialStarter
300.1704,6,0.65,0.05,trialStarter
300.1704,7,0.75,0.05,trialStarter
300.1704,8,0.85,0.05,Floor
300.1704,9,0.95,0.05,Floor
300.1704,10,0.05,0.15,Floor
300.1704,11,0.15,0.15,Floor
300.1704,12,0.25,0.15,Floor
300.1704,13,0.35,0.15,Floor
300.1704,14,0.45,0.15,Floor
300.1704,15,0.55,0.15,trialStarter
300.1704,16,0.65,0.15,trialStarter
300.1704,17,0.75,0.15,Floor
300.1704,18,0.85,0.15,Floor
300.1704,19,0.95,0.15,Floor
300.1704,20,0.05,0.25,Floor
300.1704,21,0.15,0.25,Floor
300.1704,22,0.25,0.25,Floor
300.1704,23,0.35,0.25,Floor
300.1704,24,0.45,0.25,Floor
300.1704,25,0.55,0.25,Floor
300.1704,26,0.65,0.25,Floor
300.1704,27,0.75,0.25,Floor
300.1704,28,0.85,0.25,Floor
300.1704,29,0.95,0.25,Floor
300.1704,30,0.05,0.35,Floor
300.1704,31,0.15,0.35,Floor
300.1704,32,0.25,0.35,Floor
300.1704,33,0.35,0.35,Floor
300.1704,34,0.45,0.35,Floor
300.1704,35,0.55,0.35,Floor
