time,FPS
279.701,350
279.723,350
279.7274,350
279.7312,350
279.7354,350
279.7391,322
279.7438,322
279.7482,322
279.7522,322
279.7563,322
279.7602,322
279.765,322
279.7687,322
279.7732,322
279.7772,322
279.7815,322
279.786,322
279.7898,322
279.7939,322
279.7986,322
279.8025,322
279.8073,322
279.8114,322
279.8152,322
279.8195,322
279.8243,322
279.8302,322
279.8342,322
279.8379,322
279.8418,322
279.847,322
279.8528,322
279.8582,322
279.8622,322
279.8668,322
279.8719,322
279.8758,322
279.8797,322
279.8837,322
279.8877,322
279.8914,322
279.8953,322
279.899,322
279.9034,322
279.9074,322
279.9112,322
279.915,322
279.9187,322
279.9224,322
279.9266,322
279.9304,322
279.9341,322
279.9379,322
279.9414,322
279.9458,322
279.9497,322
279.9536,322
279.9573,322
279.9611,322
279.9654,322
279.9693,322
279.9732,322
279.977,322
279.9809,322
279.9851,322
279.9889,322
279.9937,322
279.9975,322
280.0013,322
280.006,322
280.0098,322
280.014,322
280.0176,322
280.0214,322
280.0256,322
280.0296,322
280.0335,322
280.0374,322
280.0415,322
280.0457,322
280.0496,322
280.0533,322
280.0603,322
280.0745,322
280.0786,322
280.0826,322
280.0869,322
280.0907,322
280.0944,322
280.0982,322
280.1021,322
280.1064,322
280.11,322
280.1139,322
280.1176,322
280.1213,322
280.1258,322
280.1295,322
280.134,322
280.1382,322
280.1418,322
280.1471,322
280.1512,322
280.155,322
280.1589,322
280.1631,322
280.1674,322
280.1714,322
280.1753,322
280.179,322
280.1828,322
280.1869,322
280.1906,322
280.1949,322
280.1987,322
280.2026,322
280.2067,322
280.2104,322
280.2144,322
280.218,322
280.2219,322
280.2262,322
280.2301,322
280.2337,322
280.2377,322
280.2413,240
280.2458,240
280.2495,240
280.2532,240
280.257,240
280.2607,240
280.2652,240
280.2695,240
280.2733,240
280.2778,240
280.2815,240
280.2859,240
280.2896,240
280.2938,240
280.2982,240
280.3025,240
280.3066,240
280.3103,240
280.3144,240
280.3181,240
280.3222,240
280.3266,240
280.3303,240
280.3344,240
280.338,240
280.3421,240
280.3462,240
280.3499,240
280.3542,240
280.358,240
280.3617,240
280.3658,240
280.3697,240
280.3735,240
280.3772,240
280.3808,240
280.3851,240
280.3891,240
280.393,240
280.3974,240
280.4013,240
280.4061,240
280.4104,240
280.4141,240
280.4179,240
280.4216,240
280.426,240
280.4298,240
280.4339,240
280.4378,240
280.4421,240
280.4464,240
280.4503,240
280.4543,240
280.458,240
280.4621,240
280.4667,240
280.4713,240
280.4751,240
280.4787,240
280.4827,240
280.4869,240
280.4907,240
280.4975,240
280.5109,240
280.5159,240
280.52,240
280.5239,240
280.528,240
280.5319,240
280.5358,240
280.5406,240
280.5448,240
280.5488,240
280.5528,240
280.5567,240
280.5603,240
280.5647,240
280.5688,240
280.5726,240
280.5764,240
280.5804,240
280.5848,240
280.5885,240
280.5922,240
280.596,240
280.5997,240
280.6036,240
280.6078,240
280.6118,240
280.6156,240
280.6195,240
280.6232,240
280.6276,240
280.6328,240
280.637,240
280.6408,240
280.6451,240
280.6487,240
280.6525,240
280.6563,240
280.6603,240
280.6644,240
280.6682,240
280.6721,240
280.6758,240
280.6794,240
280.6833,240
280.6874,240
280.6915,240
280.6959,240
280.6998,240
280.7036,240
280.7079,240
280.7122,240
280.7161,240
280.7199,240
280.7238,240
280.7278,240
280.7316,240
280.7355,240
280.7397,242
280.744,242
280.7484,242
280.7523,242
280.7567,242
280.761,242
280.7657,242
280.7694,242
280.7732,242
280.7769,242
280.7807,242
280.785,242
280.7886,242
280.7927,242
280.7965,242
280.8003,242
280.8044,242
280.8089,242
280.813,242
280.8166,242
280.821,242
280.8255,242
280.8292,242
280.8336,242
280.8375,242
280.8412,242
280.8453,242
280.849,242
280.8526,242
280.8563,242
280.86,242
280.8638,242
280.8678,242
280.8716,242
280.8756,242
280.8793,242
280.8835,242
280.8879,242
280.8922,242
280.8963,242
280.9,242
280.9038,242
280.908,242
280.912,242
280.9158,242
280.9197,242
280.9239,242
280.9281,242
280.9322,242
280.936,242
280.94,242
280.9439,242
280.948,242
280.9524,242
280.9564,242
280.9602,242
280.9648,242
280.9688,242
280.9729,242
280.9765,242
280.9808,242
280.9849,242
280.9886,242
280.9927,242
280.9999,242
281.0132,242
281.0179,242
281.0223,242
281.0263,242
281.0299,242
281.0338,242
281.0376,242
281.0414,242
281.0455,242
281.0495,242
281.0532,242
281.057,242
281.0607,242
281.0649,242
281.0688,242
281.0725,242
281.0762,242
281.0817,242
281.0865,242
281.0902,242
281.094,242
281.0982,242
281.1018,242
281.1063,242
281.11,242
281.114,242
281.118,242
