time,FPS
236.2,288
236.2231,288
236.2276,288
236.2319,288
236.2359,288
236.2399,288
236.2439,288
236.2486,288
236.2527,288
236.2591,288
236.2632,288
236.2757,288
236.2836,288
236.2934,288
236.3074,288
236.3124,288
236.3177,288
236.3218,288
236.3277,288
236.3343,288
236.3386,288
236.3429,288
236.3475,288
236.3519,288
236.3562,288
236.3601,288
236.3648,288
236.3694,288
236.378,266
236.3827,266
236.3875,266
236.392,266
236.3965,266
236.4012,266
236.4058,266
236.4102,266
236.4144,266
236.4188,266
236.4238,266
236.4286,266
236.4337,266
236.4381,266
236.4426,266
236.4478,266
236.4525,266
236.4567,266
236.4617,266
236.4668,266
236.4748,266
236.4796,266
236.4842,266
236.4902,266
236.496,266
236.5004,266
236.5051,266
236.5097,266
236.5138,266
236.5174,266
236.5217,266
236.5258,266
236.5296,266
236.5332,266
236.5376,266
236.5412,266
236.5452,266
236.5493,266
236.5529,266
236.5567,266
236.5607,266
236.5649,266
236.5685,266
236.5765,266
236.5801,266
236.5848,266
236.5892,266
236.5934,266
236.5975,266
236.6018,266
236.6071,266
236.6118,266
236.6161,266
236.6205,266
236.6252,266
236.6296,266
236.6338,266
236.6381,266
236.6425,266
236.6473,266
236.6514,266
236.6555,266
236.6629,266
236.667,266
236.6721,266
236.6757,266
236.6793,266
236.6833,266
236.6871,266
236.691,266
236.6946,266
236.6983,266
236.7021,266
236.7062,266
236.7106,266
236.7144,266
236.7186,266
236.7223,266
236.7266,266
236.7309,266
236.7355,266
236.7397,266
236.7438,266
236.7489,266
236.7538,266
236.7588,266
236.7634,266
236.7683,266
236.7768,266
236.7815,266
236.7875,266
236.792,266
236.7969,266
236.8012,266
236.8053,266
236.8093,266
236.8134,266
236.8169,266
236.8212,266
236.826,266
236.8299,266
236.8341,266
236.8379,266
236.843,266
236.8492,266
236.8533,266
236.8575,266
236.8613,266
236.8654,266
236.8696,266
236.8734,266
236.8772,222
236.8813,222
236.8902,222
236.8943,222
236.8986,222
236.9034,222
236.9083,222
236.9128,222
236.9165,222
236.9214,222
236.9264,222
236.9306,222
236.9352,222
236.9394,222
236.9435,222
236.9475,222
236.9517,222
236.9553,222
236.9588,222
236.9624,222
236.9668,222
236.9705,222
236.9741,222
236.9778,222
236.9816,222
237.005,222
237.0091,222
237.0129,222
237.0166,222
237.0202,222
237.0242,222
237.0279,222
237.0316,222
237.0353,222
237.0392,222
237.0434,222
237.0476,222
237.0514,222
237.055,222
237.0586,222
237.0624,222
237.0667,222
237.0703,222
237.0741,222
237.078,222
237.0817,222
237.0858,222
237.0932,222
237.0968,222
237.1005,222
237.1045,222
237.1083,222
237.1122,222
237.1157,222
237.1193,222
237.1232,222
237.1276,222
237.1313,222
237.1351,222
237.14,222
237.1441,222
237.1494,222
237.1538,222
237.1583,222
237.1628,222
237.1679,222
237.1722,222
237.176,222
237.1795,222
237.1833,222
237.1872,222
237.1913,222
237.1951,222
237.1991,222
237.203,222
237.2074,222
237.2112,222
237.2192,222
237.2236,222
237.2281,222
237.2319,222
237.2355,222
237.2392,222
237.2428,222
237.2468,222
237.2503,222
237.2545,222
237.2584,222
237.2629,222
237.2677,222
237.2719,222
237.276,222
237.2802,222
237.2849,222
237.289,222
237.2939,222
237.298,222
237.3028,222
237.3076,222
237.3118,222
237.3161,222
237.3209,222
237.3258,222
237.3303,222
237.3349,222
237.339,222
237.3438,222
237.3529,222
237.357,222
237.3616,222
237.3667,222
237.3708,222
237.3749,222
237.3798,226
237.3846,226
237.3892,226
237.3938,226
237.3981,226
237.4027,226
237.4078,226
237.4126,226
237.417,226
237.4216,226
237.4267,226
237.431,226
237.4352,226
237.4396,226
237.4438,226
237.4488,226
237.4531,226
237.4571,226
237.4615,226
237.4662,226
237.4703,226
237.4749,226
237.4796,226
237.4838,226
237.4929,226
237.4971,226
237.5017,226
237.5067,226
237.5109,226
237.5154,226
237.5195,226
237.5239,226
237.5286,226
237.5328,226
237.538,226
237.5429,226
237.5481,226
237.5521,226
237.5569,226
237.5609,226
237.5658,226
237.5698,226
237.5741,226
237.5786,226
237.5827,226
237.5878,226
237.5921,226
237.5963,226
237.6008,226
237.6058,226
237.6098,226
237.614,226
237.619,226
237.6237,226
237.6321,226
237.6365,226
237.6411,226
237.6459,226
237.651,226
237.6553,226
237.6593,226
237.663,226
237.6675,226
237.6715,226
237.6755,226
237.6793,226
237.6834,226
237.6886,226
237.6924,226
237.6973,226
237.7011,226
237.7054,226
237.709,226
237.7131,226
237.7169,226
237.7205,226
237.7317,226
237.7402,226
237.7507,226
237.7549,226
237.7601,226
237.7648,226
237.7685,226
237.7729,226
237.7765,226
237.7803,226
237.7841,226
237.7878,226
237.792,226
237.7955,226
237.7991,226
237.8027,226
237.8069,226
237.8108,226
237.8144,226
237.8179,226
237.8216,226
237.8255,226
237.8291,226
237.8328,226
237.8368,226
237.8414,226
237.8453,226
237.849,226
237.8527,226
237.8572,226
237.8623,226
237.8712,226
237.8748,226
237.8784,218
237.882,218
237.8862,218
237.8902,218
237.8942,218
237.8979,218
237.9014,218
237.9056,218
237.9091,218
237.9134,218
237.9179,218
237.9219,218
237.9265,218
237.9304,218
237.9352,218
237.9401,218
237.9447,218
