time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
426.0233,43.47954,2,-35.68061,0.000005,78.32858,0.000001
426.026,43.47954,2,-35.68061,0.000005,78.32858,0.000001
426.0287,43.47954,2,-35.68061,0.000005,78.32858,0.000001
426.0316,43.47954,2,-35.68061,0.000005,78.32858,0.000001
426.0421,43.47954,1.996076,-35.68061,0.000005,78.32858,0.000001
426.048,43.47954,1.996076,-35.68061,0.000005,78.32858,0.000001
426.0504,43.47954,1.996076,-35.68061,0.000005,78.32858,0.000001
426.0529,43.47954,1.996076,-35.68061,0.000005,78.32858,0.000001
426.0558,43.47954,1.996076,-35.68061,0.000005,78.32858,0.000001
426.0583,43.47954,1.996076,-35.68061,0.000005,78.32858,0.000001
426.0609,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.064,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.0671,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.0699,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.0724,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.0751,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.0775,43.47954,1.988228,-35.68061,0.000005,78.32858,0.000001
426.0801,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.083,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.0854,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.0878,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.0903,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.0927,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.0952,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.0978,43.47954,1.976456,-35.68061,0.000005,78.32858,0.000001
426.1003,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1032,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1056,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1081,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1108,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1132,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1157,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1182,43.47954,1.96076,-35.68061,0.000005,78.32858,0.000001
426.1206,43.47954,1.94114,-35.68061,0.000005,78.32858,0.000001
