time,FPS
212.0818,346
212.1048,346
212.1119,346
212.1186,346
212.1232,346
212.1273,346
212.1314,346
212.1351,346
212.1389,346
212.1426,346
212.1476,346
212.1525,346
212.1563,346
212.1601,346
212.1647,346
212.169,346
212.173,346
212.1774,346
212.1825,346
212.1868,346
212.1906,346
212.1948,346
212.2021,346
212.2107,346
212.2149,346
212.2188,346
212.2244,346
212.2298,346
212.2346,346
212.2383,346
212.2427,346
212.2468,346
212.2509,346
212.2546,346
212.2586,282
212.2628,282
212.2672,282
212.2711,282
212.275,282
212.2789,282
212.2828,282
212.287,282
212.2909,282
212.2954,282
212.2992,282
212.303,282
212.3074,282
212.3114,282
212.3151,282
212.3192,282
212.323,282
212.3272,282
212.3356,282
212.3398,282
212.3438,282
212.348,282
212.3523,282
212.3562,282
212.36,282
212.3642,282
212.3681,282
212.3723,282
212.3759,282
212.3797,282
212.3837,282
212.3879,282
212.3918,282
212.3956,282
212.3993,282
212.4035,282
212.4078,282
212.4119,282
212.416,282
212.4201,282
212.4251,282
212.4289,282
212.4329,282
212.4367,282
212.4407,282
212.4452,282
212.4496,282
212.4543,282
212.4622,282
212.4714,282
212.4757,282
212.4795,282
212.4838,282
212.488,282
212.4928,282
212.4969,282
212.5007,282
212.5053,282
212.5094,282
212.5138,282
212.5175,282
212.5217,282
212.5264,282
212.5305,282
212.5349,282
212.5391,282
212.543,282
212.5476,282
212.5516,282
212.5558,282
212.5603,282
212.5645,282
212.5687,282
212.5726,282
212.5764,282
212.5801,282
212.5849,282
212.5889,282
212.5928,282
212.5967,282
212.6007,282
212.605,282
212.6088,282
212.6129,282
212.6202,282
212.6283,282
212.6333,282
212.6386,282
212.6427,282
212.6468,282
212.6509,282
212.6546,282
212.6584,282
212.6628,282
212.6673,282
212.6714,282
212.6756,282
212.6794,282
212.6837,282
212.6883,282
212.6922,282
212.6967,282
212.7011,282
212.7053,282
212.7095,282
212.7137,282
212.7174,282
212.7218,282
212.7259,282
212.7298,282
212.7341,282
212.7384,282
212.7423,282
212.747,282
212.7514,282
212.7558,282
212.7605,232
212.7654,232
212.7703,232
212.7747,232
212.7823,232
212.7915,232
212.7959,232
212.8003,232
212.8053,232
212.8105,232
212.8149,232
