experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,raytracker_objectsOnScreenTracker_location_0,first_person_controller_movement_location_0
DiamondWorld_standard,shine-95ef1e4f-e87f-4bb0-8fbd-e0f9d08ce0b1,1,1,1,1,4.4,14.40698,DiamondWorld_standard/shine-95ef1e4f-e87f-4bb0-8fbd-e0f9d08ce0b1/S001/trackers/raytracker_objectsOnScreenTracker_T001.csv,DiamondWorld_standard/shine-95ef1e4f-e87f-4bb0-8fbd-e0f9d08ce0b1/S001/trackers/first_person_controller_movement_T001.csv
DiamondWorld_standard,shine-95ef1e4f-e87f-4bb0-8fbd-e0f9d08ce0b1,1,2,1,2,19.82,29.82624,DiamondWorld_standard/shine-95ef1e4f-e87f-4bb0-8fbd-e0f9d08ce0b1/S001/trackers/raytracker_objectsOnScreenTracker_T002.csv,DiamondWorld_standard/shine-95ef1e4f-e87f-4bb0-8fbd-e0f9d08ce0b1/S001/trackers/first_person_controller_movement_T002.csv
