time,FPS
151.3409,274
151.3659,274
151.3725,274
151.3766,274
151.3813,274
151.3874,274
151.3934,274
151.3993,274
151.4044,274
151.4096,274
151.4141,274
151.4207,274
151.4398,274
151.4459,274
151.4512,278
151.4551,278
151.4592,278
151.4631,278
151.4674,278
151.4713,278
151.475,278
151.4789,278
151.4825,278
151.4867,278
151.4906,278
151.4944,278
151.4979,278
151.5016,278
151.5057,278
151.5095,278
151.5133,278
151.5171,278
151.521,278
151.5251,278
151.5288,278
151.5324,278
151.5366,278
151.541,278
151.5477,278
151.5538,278
151.5599,278
151.5672,278
151.5772,278
151.599,278
151.6079,278
151.6165,278
151.6239,278
151.6316,278
151.6365,278
151.642,278
151.6491,278
151.6563,278
151.6635,278
151.6734,278
151.6788,278
151.6843,278
151.6913,278
151.6965,278
151.7019,278
151.7077,278
151.7133,278
151.7195,278
151.7249,278
151.7317,278
151.7532,278
151.7586,278
151.7635,278
151.7693,278
151.7746,278
151.7809,278
151.7867,278
151.7927,278
151.8006,278
151.8104,278
151.818,278
151.826,278
151.837,278
151.8447,278
151.8545,278
151.8624,278
151.8721,278
151.8802,278
151.8927,278
151.9282,278
151.9417,278
151.951,142
151.9602,142
151.9732,142
151.9848,142
151.9951,142
152.0062,142
152.0284,142
152.0347,142
152.0396,142
152.0443,142
152.0607,142
152.0657,142
152.0705,142
152.0752,142
152.0803,142
152.0853,142
152.0909,142
152.0993,142
152.1067,142
152.1135,142
152.1189,142
152.1241,142
152.1298,142
152.1356,142
152.1407,142
152.1471,142
152.152,142
152.1566,142
152.1616,142
152.1675,142
152.1718,142
152.1772,142
152.1827,142
152.1879,142
152.1919,142
152.1965,142
152.2118,142
152.2171,142
152.2214,142
152.2268,142
152.232,142
152.237,142
152.2418,142
152.2478,142
152.2522,142
152.2568,142
152.2614,142
152.2667,142
152.2723,142
152.2766,142
152.2813,142
152.2863,142
152.2905,142
152.295,142
152.2999,142
152.3049,142
152.3099,142
152.3143,142
152.3188,142
152.3234,142
152.3282,142
152.3324,142
152.3367,142
152.3416,142
152.3462,142
152.3503,142
152.3658,142
152.3711,142
152.3756,142
152.3797,142
152.384,142
152.3891,142
152.3935,142
152.3995,142
152.4054,142
152.4115,142
152.4165,142
152.4216,142
152.4274,142
152.4324,142
152.4368,142
152.4417,142
152.447,142
152.4522,166
152.4579,166
152.4632,166
152.4691,166
152.4744,166
152.4795,166
152.4837,166
152.4889,166
152.4941,166
152.4992,166
152.5039,166
152.5244,166
152.5305,166
152.5365,166
152.5432,166
152.5502,166
152.5552,166
152.5614,166
152.5669,166
152.5725,166
152.5795,166
152.5864,166
152.5923,166
152.5968,166
152.6014,166
152.6066,166
152.6116,166
152.6162,166
152.6214,166
152.6266,166
152.6309,166
152.635,166
152.6395,166
152.6436,166
152.6485,166
152.6529,166
152.657,166
152.6705,166
152.6764,166
152.6808,166
152.6853,166
152.6895,166
152.6944,166
152.6983,166
152.7028,166
152.7084,166
152.7128,166
152.7171,166
152.7211,166
152.7257,166
152.7304,166
152.7346,166
152.739,166
152.744,166
152.7486,166
152.754,166
152.7591,166
152.7638,166
152.7683,166
152.7727,166
152.7774,166
152.7819,166
152.7872,166
152.7921,166
152.7964,166
152.8009,166
152.8058,166
152.81,166
152.8257,166
152.8307,166
152.8351,166
152.8394,166
152.8441,166
152.8496,166
152.8545,166
152.8585,166
152.8629,166
152.868,166
152.8719,166
152.8763,166
152.8805,166
152.8853,166
152.8902,166
152.8944,166
152.899,166
152.9036,166
152.9079,166
152.912,166
152.9162,166
152.9202,166
152.9251,166
152.9291,166
152.9335,166
152.9376,166
152.9416,166
152.9462,166
152.9504,192
152.9544,192
152.9586,192
152.9626,192
152.9764,192
152.9804,192
152.9854,192
152.9896,192
152.9939,192
152.998,192
153.0022,192
153.0069,192
153.011,192
153.0152,192
153.0194,192
153.0236,192
153.0293,192
153.0337,192
153.038,192
153.0424,192
153.0471,192
153.0511,192
153.0554,192
153.0594,192
153.0637,192
153.0686,192
153.0729,192
153.0772,192
153.0815,192
153.0861,192
153.0903,192
153.0944,192
153.0993,192
153.1037,192
153.1086,192
153.1129,192
153.1261,192
153.1312,192
153.1355,192
153.1401,192
153.1456,192
153.1536,192
153.1617,192
153.1815,192
153.1863,192
153.1902,192
153.1941,192
153.1981,192
153.2025,192
153.2075,192
153.2115,192
153.216,192
153.2201,192
153.2254,192
153.2298,192
153.2343,192
153.2386,192
153.2432,192
153.2479,192
153.2525,192
153.2567,192
153.2608,192
153.2656,192
153.2785,192
153.2832,192
153.2876,192
153.2921,192
153.296,192
153.3001,192
153.3049,192
153.3087,192
153.3136,192
153.3192,192
153.3237,192
153.3283,192
153.3325,192
153.337,192
153.3417,192
153.3466,192
153.3511,192
153.3557,192
153.3604,192
153.3647,192
153.3693,192
153.3735,192
153.3776,192
153.3819,192
153.3863,192
153.3909,192
153.3952,192
153.3992,192
153.4035,192
153.4081,192
153.4121,192
153.4162,192
153.4281,192
153.4329,192
153.4376,192
153.4413,192
153.4456,192
153.4492,200
153.4528,200
153.4565,200
153.4603,200
153.4644,200
153.468,200
153.472,200
153.4757,200
153.4795,200
153.4831,200
153.4872,200
153.4909,200
153.4946,200
153.4984,200
153.5021,200
153.5064,200
153.5101,200
153.5139,200
153.5175,200
153.5216,200
153.5256,200
153.5293,200
153.533,200
153.5368,200
153.5406,200
153.5446,200
153.5483,200
153.5525,200
153.5566,200
153.5608,200
153.5652,200
153.5697,200
153.5816,200
153.5856,200
153.5893,200
153.593,200
153.5969,200
153.6004,200
153.6047,200
153.6083,200
153.6121,200
153.6156,200
153.6193,200
153.623,200
153.6271,200
153.631,200
153.6347,200
153.6388,200
153.6425,200
153.6465,200
153.65,200
153.6537,200
153.6573,200
153.661,200
153.6649,200
153.6685,200
153.6724,200
153.6761,200
153.6798,200
153.6834,200
153.6875,200
153.6913,200
153.6951,200
153.6987,200
153.7027,200
153.7072,200
153.7111,200
153.7151,200
153.7187,200
153.7227,200
153.7356,200
153.7395,200
153.7435,200
153.7475,200
153.7515,200
153.7557,200
153.7594,200
153.7633,200
153.7675,200
153.7715,200
153.7758,200
153.7797,200
153.7838,200
153.7878,200
153.7918,200
153.7957,200
153.7994,200
153.8031,200
153.8073,200
153.8112,200
153.8147,200
153.8185,200
153.8221,200
153.8263,200
153.83,200
153.8337,200
153.8374,200
153.8413,200
153.8455,200
153.8493,200
153.8532,200
153.8567,200
153.8604,200
153.8643,200
153.8681,200
153.8716,200
153.8754,200
153.8867,200
153.891,200
153.8949,200
153.8986,200
153.9024,200
153.9064,200
153.9103,200
153.9139,200
153.9177,200
153.9213,200
153.926,200
153.9301,200
153.9337,200
153.9377,200
153.9414,200
153.9455,200
153.9491,246
153.9529,246
153.9567,246
153.9606,246
153.9648,246
153.9684,246
153.9723,246
153.9759,246
153.9797,246
153.9834,246
153.9877,246
153.9915,246
153.9952,246
153.9991,246
154.003,246
154.0073,246
154.0111,246
154.0149,246
154.0185,246
154.0221,246
154.0266,246
154.0388,246
154.0427,246
154.0475,246
154.0513,246
154.0551,246
154.0592,246
154.0632,246
154.0673,246
154.071,246
154.0747,246
154.0786,246
154.0823,246
154.0862,246
154.0902,246
154.0945,246
154.0983,246
154.1019,246
154.106,246
154.1099,246
154.1135,246
154.1173,246
154.121,246
154.1253,246
154.129,246
154.1328,246
154.1363,246
154.1403,246
154.1446,246
154.1515,246
154.1596,246
154.1768,246
154.1885,246
154.1927,246
154.1963,246
154.2002,246
154.2044,246
154.2087,246
154.2125,246
154.2167,246
154.2206,246
154.225,246
154.229,246
154.2328,246
154.2368,246
154.2404,246
154.2448,246
