time,FPS
100.1018,348
100.126,348
100.1302,348
100.1339,348
100.1376,348
100.1413,348
100.1453,348
100.1495,348
100.1533,348
100.1569,348
100.1609,348
100.165,348
100.1688,348
100.1732,348
100.1772,348
100.1809,348
100.185,348
100.1887,348
100.1925,348
100.1971,348
100.2032,348
100.2086,348
100.2124,348
100.2168,348
100.221,348
100.2251,348
100.2293,348
100.2404,348
100.2464,348
100.2505,348
100.2542,348
100.2582,348
100.2619,348
100.266,348
100.2696,348
100.2734,348
100.277,348
100.2809,348
100.285,348
100.2886,348
100.2925,348
100.296,348
100.2998,348
100.3034,348
100.3074,348
100.3109,348
100.3144,348
100.318,348
100.3216,348
100.3257,348
100.3293,348
100.333,348
100.3366,348
100.3404,348
100.3444,348
100.3481,348
100.3518,348
100.3555,348
100.3591,348
100.3628,348
100.3671,348
100.3707,348
100.3744,348
100.3781,348
100.382,348
100.3859,348
100.3896,348
100.3932,348
100.3969,348
100.4004,348
100.4044,348
100.4081,348
100.4119,348
100.4158,348
100.4194,348
100.4232,348
100.4272,348
100.4313,348
100.4347,348
100.4385,348
100.4421,348
100.446,348
100.4496,348
100.4533,348
100.4573,348
100.4614,348
100.4655,348
100.4692,348
100.4729,348
100.4765,348
100.4801,348
100.4841,348
100.4877,348
100.4914,348
100.4951,348
100.4988,348
100.5024,348
100.5065,348
100.5101,348
100.5137,348
100.5173,348
100.521,348
100.5249,348
100.5285,348
100.5323,348
100.536,348
100.5395,348
100.5432,348
100.5471,348
100.5507,348
100.5542,348
100.558,348
100.5615,348
100.5655,348
100.5691,348
100.5727,348
100.5764,348
100.5804,348
100.5845,348
100.5881,348
100.5918,348
100.5953,348
100.599,348
100.6028,348
100.6069,348
100.6106,348
100.6141,348
100.6179,348
100.6216,256
100.6256,256
100.6293,256
100.633,256
100.6366,256
100.6403,256
100.6443,256
100.648,256
100.6518,256
100.6555,256
100.6591,256
100.6627,256
100.6669,256
100.6705,256
100.6742,256
100.6778,256
100.6816,256
100.6856,256
100.6891,256
100.6927,256
100.6965,256
100.7001,256
100.7042,256
100.7079,256
100.7116,256
100.7152,256
100.7188,256
100.7227,256
100.7268,256
100.7305,256
100.7342,256
100.7378,256
100.7415,256
100.7455,256
100.7491,256
100.7527,256
100.7568,256
100.7686,256
100.7761,256
100.7881,256
100.8061,256
100.8103,256
100.8141,256
100.8174,256
100.821,256
100.8248,256
100.8282,256
100.832,256
100.8357,256
100.8393,256
100.8428,256
100.8469,256
100.8504,256
100.854,256
100.8576,256
100.8615,256
100.8654,256
100.869,256
100.8726,256
100.8763,256
100.8798,256
100.8835,256
100.8905,256
100.8977,256
100.9013,256
100.9053,256
100.9089,256
100.9126,256
100.9162,256
100.9198,256
100.9235,256
100.9274,256
100.9312,256
100.9352,256
100.939,256
100.9427,256
100.9472,256
100.9513,256
100.955,256
100.9588,256
100.9668,256
100.9708,256
100.9744,256
100.9781,256
100.9817,256
100.9859,256
100.9896,256
100.9932,256
100.9968,256
101.0007,256
101.0046,256
101.0083,256
101.0128,256
101.0163,256
101.0199,256
101.0235,256
101.0277,256
101.0312,256
101.035,256
101.0384,256
101.0422,256
101.0462,256
101.0498,256
101.0533,256
101.057,256
101.0606,256
101.0646,256
101.0684,256
101.0726,256
101.0763,256
101.0799,256
101.0837,256
101.0877,256
101.0914,256
101.0991,256
101.1028,256
101.1068,256
101.1105,256
101.1141,256
101.118,256
101.1216,240
101.1257,240
101.1292,240
101.133,240
101.1367,240
101.1403,240
101.1442,240
101.148,240
101.1517,240
101.1553,240
101.159,240
101.1627,240
101.1669,240
101.1705,240
101.1742,240
101.1778,240
101.1816,240
101.1855,240
101.189,240
101.1928,240
101.1965,240
101.2001,240
101.2042,240
101.2079,240
101.2114,240
101.215,240
101.2186,240
101.2224,240
101.2305,240
101.2341,240
101.2379,240
101.2417,240
101.2456,240
101.2491,240
101.2529,240
101.2565,240
101.2601,240
101.2643,240
101.268,240
101.2717,240
101.2752,240
101.2789,240
101.2826,240
101.2868,240
101.2904,240
101.294,240
101.2977,240
101.3013,240
101.3053,240
101.3088,240
101.3126,240
101.3161,240
101.3197,240
101.3232,240
101.3273,240
101.331,240
101.3346,240
101.3381,240
101.3419,240
101.3459,240
101.3494,240
101.3531,240
101.3567,240
101.3644,240
101.3684,240
101.372,240
101.3757,240
101.3793,240
101.3829,240
101.3871,240
101.391,240
101.3947,240
101.3984,240
101.4021,240
101.406,240
101.4096,240
101.4131,240
101.4169,240
101.4205,240
101.4245,240
101.4281,240
101.432,240
101.4356,240
101.4395,240
101.4434,240
101.4476,240
101.4514,240
101.455,240
101.4586,240
101.4623,240
101.4664,240
101.4699,240
101.4736,240
101.4772,240
101.4809,240
101.4851,240
101.4888,240
101.4926,240
101.5006,240
101.5045,240
101.5082,240
101.5118,240
101.5154,240
101.5189,240
101.5227,240
101.527,240
101.5307,240
101.5345,240
101.5381,240
101.5419,240
101.5458,240
101.5496,240
101.5533,240
101.5569,240
101.5606,240
101.5646,240
101.5685,240
101.5724,240
101.5761,240
101.5797,240
101.5834,240
101.5874,240
101.5912,240
101.5947,240
101.5986,240
101.6021,240
101.6063,240
101.6099,240
101.6136,240
101.6173,240
101.6211,260
101.6252,260
101.6287,260
101.6354,260
101.6813,260
101.6864,260
101.6899,260
101.6935,260
101.697,260
101.7004,260
101.7043,260
101.708,260
101.7115,260
101.7152,260
101.7189,260
101.7226,260
101.7265,260
101.7301,260
101.7337,260
101.7373,260
101.7408,260
101.7449,260
101.7487,260
101.7527,260
101.7565,260
101.7601,260
101.7643,260
101.7677,260
101.7714,260
101.7749,260
101.7788,260
101.7824,260
101.7939,260
101.7975,260
101.8009,260
101.8049,260
101.8085,260
101.8121,260
101.8156,260
101.8193,260
101.8227,260
101.827,260
101.8305,260
101.8341,260
101.8377,260
101.8414,260
101.8453,260
101.8489,260
101.8524,260
101.856,260
101.8595,260
101.8631,260
101.8671,260
101.8707,260
101.8744,260
101.8778,260
101.8815,260
101.8855,260
101.8893,260
101.8928,260
101.8968,260
101.9004,260
101.9047,260
101.9082,260
101.9118,260
101.9156,260
101.9193,260
101.923,260
101.927,260
101.931,260
101.9378,260
101.9457,260
101.9497,260
101.9532,260
101.9569,260
101.9612,260
101.9655,260
101.9694,260
101.973,260
101.9767,260
101.9809,260
101.9853,260
101.9898,260
101.9941,260
101.9982,260
102.0025,260
102.0071,260
102.0111,260
102.0151,260
102.0195,260
102.0234,260
102.0281,260
102.0322,260
102.0366,260
102.0409,260
102.0454,260
102.0497,260
102.0537,260
102.0578,260
102.0622,260
102.0671,260
102.0712,260
102.0752,260
102.0791,260
102.0833,260
102.088,260
102.0921,260
102.0963,260
102.1006,260
102.1052,260
102.1095,260
102.114,260
102.1182,260
102.1224,226
102.1272,226
102.1344,226
102.1433,226
102.1479,226
102.1521,226
102.1563,226
102.1606,226
102.1652,226
102.1693,226
102.1736,226
102.1781,226
102.1824,226
102.1872,226
102.1911,226
102.1952,226
102.1992,226
102.2034,226
102.2082,226
102.2122,226
102.2166,226
102.2211,226
102.2255,226
102.2301,226
102.2342,226
102.2387,226
102.2431,226
102.2477,226
102.2518,226
102.2562,226
102.2603,226
102.2651,226
102.2694,226
102.2736,226
102.2779,226
102.2822,226
102.2866,226
102.2913,226
102.2952,226
102.2996,226
102.3042,226
102.309,226
102.3132,226
102.3175,226
102.3221,226
102.3267,226
102.335,226
102.3433,226
102.3511,226
102.3611,226
102.3656,226
102.37,226
102.3743,226
102.3782,226
102.3831,226
102.3876,226
102.3917,226
102.396,226
102.4003,226
102.4052,226
102.4096,226
102.4139,226
102.418,226
102.4223,226
102.4271,226
102.4312,226
102.4351,226
102.4392,226
102.4433,226
102.4479,226
102.4522,226
102.4572,226
102.4615,226
102.4663,226
102.4711,226
102.4753,226
102.4796,226
102.4841,226
102.489,226
102.4936,226
102.4976,226
102.5021,226
102.5099,226
